ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,lat,lon,Location
10837974,JA140290,02-03-2017 02:30,053XX S SPRINGFIELD AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,TRUE,FALSE,822,8,23,62,7,1151280,1868818,2017,02/14/2017 03:49:42 PM,41.79591765,-87.72078408,"(41.795917652, -87.72078408)"
10837975,JA139957,02-03-2017 08:00,025XX W TOUHY AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,2411,24,50,2,08B,1158087,1947687,2017,02/14/2017 03:49:42 PM,42.01220497,-87.69366559,"(42.012204966, -87.693665589)"
10837976,JA140099,02-03-2017 09:00,010XX E 132ND ST,496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,CHA APARTMENT,FALSE,TRUE,533,5,9,54,04B,1185661,1818022,2017,02/14/2017 03:49:42 PM,41.65578629,-87.59630267,"(41.655786289, -87.596302671)"
10837977,JA140329,01/26/2017 02:00:00 PM,083XX S CRANDON AVE,870,THEFT,POCKET-PICKING,GROCERY FOOD STORE,FALSE,FALSE,412,4,8,46,6,1192957,1850354,2017,02/14/2017 03:49:42 PM,41.74433449,-87.56855587,"(41.744334485, -87.568555868)"
10837980,JA140121,02-03-2017 10:50,007XX N LOTUS AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,1524,15,37,25,08A,1139784,1904296,2017,02/14/2017 03:49:42 PM,41.89349153,-87.76207589,"(41.893491529, -87.762075893)"
10837982,JA140351,01/31/2017 07:00:00 PM,063XX N ALBANY AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,2413,24,50,2,5,1154537,1941886,2017,02/14/2017 03:49:42 PM,41.99635883,-87.70688393,"(41.996358827, -87.706883933)"
10837984,JA140337,02-03-2017 12:20,019XX S TRUMBULL AVE,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,ALLEY,FALSE,FALSE,1024,10,24,29,7,1153726,1890373,2017,02/14/2017 03:49:42 PM,41.8550192,-87.71124203,"(41.855019198, -87.711242026)"
10837985,JA140325,02-03-2017 13:00,009XX W EASTWOOD AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,1914,19,46,3,18,1169062,1931075,2017,02/14/2017 03:49:42 PM,41.96638917,-87.65376858,"(41.966389165, -87.653768577)"
10837987,JA140349,02-03-2017 13:00,019XX N CLARK ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1814,18,43,7,14,1174188,1913264,2017,02/14/2017 03:49:42 PM,41.9174021,-87.63545446,"(41.917402098, -87.635454463)"
10837990,JA140231,02-03-2017 11:58,0000X N STATE ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,112,1,42,32,6,1176364,1900524,2017,02/14/2017 03:49:42 PM,41.88239406,-87.6278448,"(41.882394062, -87.627844798)"
